id,payout_id,order_id,type,deduction_paise
deff3b94-fe1e-4edf-b98f-c910168f5230,36a7544e-5083-4159-ba84-a2ac881b2d52,e33ba670-79c1-4227-ba4b-be22654c176e,REFUND,1152100
b0f06fb3-55e5-434f-9733-5e445b59bcf1,33e20d99-d030-4591-95e5-b4c6f0d9c53d,b165a178-a511-4006-b6d2-41a864613c30,CHARGEBACK,340285
9a68878a-f94e-4186-9b70-fce0c7f541d4,1a44d091-315f-4274-ac79-5aa06c22d116,74c77029-f882-465f-9a7c-46c55e22bc07,CHARGEBACK,872778
d6281cde-dce6-4903-9c64-eee30553e73b,c709975a-bdd1-456c-aef9-b0a2c3d70089,c752a994-e8e7-4dfd-9f81-6ab58b5ac97e,REFUND,1128335
cab91a92-c791-414a-8d5e-dbcf992d2bd5,9bffb24e-0365-4982-ba02-d660e779d44f,d909fe64-d5c3-482d-81bf-587898a64ba6,CHARGEBACK,1073360
e882364c-7082-4323-92a2-f291042b192c,a6e51587-2310-441c-aa8f-de3e204c8f99,87900b10-b19a-4e46-992d-7b2af0ee512b,CHARGEBACK,86017
dc9601de-4e8a-48a0-9d69-a8558509d20e,d720c64f-611c-4f09-8378-13b70c6eaca4,b5cb1c99-87dd-48c0-854a-1a59df9db4da,REFUND,106998
b01ebbbd-91c7-4c83-9be2-751cb95a6b33,c6bbac3c-9e04-4c3c-a261-6a1a70664e1d,62d04c8a-f3ba-4cdd-965f-519b8fe44217,CHARGEBACK,796646
c89b0a1b-5ec5-4327-9f1e-98546e59da5a,acea2447-08c3-4d7f-9f1b-c06756814136,f45ca781-06ef-4989-8cda-02720ef63ad7,REFUND,1129352
cdf50d73-d4ad-4a5b-bd25-b7535fc01e16,6ff5bec2-3619-4440-be93-48e747c472bd,a55a6276-24b7-42e1-9796-35697a1a78e6,CHARGEBACK,1557011
ff94ebcc-cbcc-4941-9a72-26178751672f,09464c65-d182-4884-a44c-211593902d75,895b5fd6-2847-4f31-a529-3b81a2c39afa,REFUND,703424
3765991c-7fdd-4130-93b4-df42d9b71550,f90f2772-1139-44bb-b132-07dad0a3f0b4,71412f50-7ab2-4fb9-80a4-144b2d79d3e1,CHARGEBACK,1057318
7fc11dce-1a51-4825-a3b5-a9ade98cd697,197d4c94-2a8b-4e3f-ac5c-4cad12fe4b31,71400268-b15d-4727-b7ef-6ec24e4654a0,CHARGEBACK,879795
c5ecb78f-3349-4113-903c-af9f5fb8646b,45bb803e-4674-4703-ab30-255e6b050f25,47ad99d0-e556-4b31-b01c-cc5f5b5299ea,CHARGEBACK,549385
972bfce9-024a-47d3-8e91-5b0136cd22dd,eb3116bb-ced8-4040-889a-516ff3388a26,69b467b2-7916-4037-9e74-13f30f2bded2,CHARGEBACK,787979
90c69ef1-6fa4-4f95-a1fd-d1e8e7236734,1111b84b-fb91-4139-9583-b1ad9a0c62cf,0383ad18-ba36-481b-85b7-170d160fd1fb,REFUND,1782279
42b14ba4-2201-411e-9f4f-5b9e849239f9,cc29cd25-fb7f-43fa-9ec8-e977579f4ff5,2e93e983-fa36-4771-9d1a-dbad40150344,CHARGEBACK,1562173
d31b23f5-a4e9-41ea-a7f7-32f2dc2482b7,444fb119-09b0-4177-b99c-89873f7c4823,f10595ac-b55b-42ea-b3d4-b9ab69b77d36,REFUND,1580124
589b9c37-a8c9-4100-8b92-404b841a8f25,6c94b3d4-528e-43fc-8d56-076ae03d77fe,f3a9ccfc-f2ad-43e4-8beb-997d7ad0c08d,REFUND,92670
502da74e-a0cf-4e98-8a10-e6ec63ef84cb,1720a6d3-0506-4940-8f30-800aff054ab6,bfb3d8e1-326e-481c-af76-765997c84c8b,CHARGEBACK,117392
22fe1623-1d90-4c47-8c3a-8fefcacb2b51,34941c11-1df2-4180-bbcd-06b80ceef70e,5007dd16-cc3d-49f5-9dc7-0287e84596cc,REFUND,158842
339acd22-1424-4690-96ed-9eef8029fed6,a450136e-4d9b-499a-95f0-4a345c3edd07,fe7e2589-270b-4b69-9a32-c5ec8350fbad,CHARGEBACK,759209
69ae9ed9-379f-4c2c-ac42-bf3a480e8b90,adcd8bb7-8806-40bb-9dfa-bc9f4640e11e,5541c907-e6b2-48a2-b827-732a87824f3f,REFUND,729849
349bac45-cf47-4e0d-80e1-5935edbd0cb6,c28c17ba-e060-4de9-8b57-923cb24178ab,71e290e4-17a8-40bb-b4f2-a779f58adca9,REFUND,859396
69cbffe0-5d2c-4374-9e8d-8aa316f69371,1d47083b-49d8-4486-b346-9350e710dcdc,827b8305-8d44-4015-b929-b77b158f1bcb,REFUND,805938
