id,narrative_raw,narrative_hash,deposit_amount_paise,deposit_date,status,created_at,updated_at
68b7b255-6f27-460a-97ea-0b1e135f5399,CMS/NEFT/UTR202608000001RZP/RAZORPAY-PAYOUT/20260802,73b3bb5e374b5195d7b47e19e967b246dba3ef73d7982427d9f1f8a471fbbabc,25066336,2026-08-02T18:00:00+00:00,UNMATCHED,2026-08-02T18:00:00+00:00,2026-08-02T18:00:00+00:00
e4d29925-bb4d-40e3-9348-39906c2e8671,CMS/NEFT/UTR202608000002RZP/RAZORPAY-PAYOUT/20260803,cbf9e4e11afb4b3f51641a7ae9bc5551150650475d6b55e9bfc662e24661772c,23484628,2026-08-03T15:00:00+00:00,UNMATCHED,2026-08-03T15:00:00+00:00,2026-08-03T15:00:00+00:00
9e44d773-bc4f-4f10-895b-137e7fc79433,NEFT CR 202608000003 RAZORPAY SOFTWARE PRIVATE LTD SETTL,b0cdcbbd6b5a3b9b82db4934a0647750c6e3b41a65c6c4a4b85b419c3dfb02a9,23885677,2026-08-04T16:00:00+00:00,UNMATCHED,2026-08-04T16:00:00+00:00,2026-08-04T16:00:00+00:00
7baef3fa-4980-4bdf-8250-c5a0a443b58f,CMS/NEFT/UTR20260800000/RZP-SETTLEMENT/NOREF-6115,13f3d0e696c7a485f8a187e98e35939887ec960cad54e7292b5e1ff6eed868f9,27305296,2026-08-05T18:00:00+00:00,UNMATCHED,2026-08-05T18:00:00+00:00,2026-08-05T18:00:00+00:00
7ae40967-546c-4b81-9ce6-0755105f3ddc,ACH-CR-AXIS000192-TXN-CMS-UTR202608000-MERCHANT-SETTLE-BATCH,9ffcb48b0877a117336f5b5eb264d1b1acf6a14d09da68d8c73647ac48974348,23756740,2026-08-06T14:00:00+00:00,UNMATCHED,2026-08-06T14:00:00+00:00,2026-08-06T14:00:00+00:00
98b3a6eb-90da-41c9-b603-a3a8e8ddbfe2,CMS/NEFT/UTR202608000006RZP/RAZORPAY-PAYOUT/20260807,8f17515c7c7277d41af2c4f23f01ed5d52bd2b42e5169b9e5e272a52e476dd9e,29957678,2026-08-07T21:00:00+00:00,UNMATCHED,2026-08-07T21:00:00+00:00,2026-08-07T21:00:00+00:00
254cfcb2-6c27-4289-b6be-c048e4a92b2d,CMS/NEFT/UTR202608000007RZP/RAZORPAY-PAYOUT/20260808,18b573a98bc6ac28ccf2cb4bbee7147f607b693516d0c2dd8971faf90e7bdb3b,27183724,2026-08-08T20:00:00+00:00,UNMATCHED,2026-08-08T20:00:00+00:00,2026-08-08T20:00:00+00:00
e29f2853-55b2-4464-b6a8-ea6ad0073d31,CMS/NEFT/UTR202608000008RZP/RAZORPAY-PAYOUT/20260809,1131d74bbdaf847a0017d56766eb5640b6fe0390332e8d8e89c91f858180fa0b,25937664,2026-08-09T15:00:00+00:00,UNMATCHED,2026-08-09T15:00:00+00:00,2026-08-09T15:00:00+00:00
247f3e70-6162-4f14-9d15-b46ae144e531,CMS/NEFT/UTR202608000009RZP/RAZORPAY-PAYOUT/20260810,ca3cfc23011fcc420858567a88ae18db38497dac849495cced36ba14c8fbed16,26143786,2026-08-10T18:00:00+00:00,UNMATCHED,2026-08-10T18:00:00+00:00,2026-08-10T18:00:00+00:00
03967790-bfcd-421d-8bc7-f89da602c6fc,CMS/NEFT/UTR20260800001/RZP-SETTLEMENT/NOREF-1059,198dbb454e84aba15b207c7b056c4ecaca8a0e07680d1cb46738161654b613d9,30164880,2026-08-11T23:00:00+00:00,UNMATCHED,2026-08-11T23:00:00+00:00,2026-08-11T23:00:00+00:00
5c9f5ce8-9717-4c90-9a56-41bfe6d73f38,CMS/NEFT/UTR202608000011RZP/RAZORPAY-PAYOUT/20260812,8feac034f8c226af49fa9f2e85baa421c7b193f95f119f4ee46b5de47f74f649,32310255,2026-08-12T14:00:00+00:00,UNMATCHED,2026-08-12T14:00:00+00:00,2026-08-12T14:00:00+00:00
b961ae79-c52a-4354-9387-e4fbc519425d,CMS/NEFT/UTR202608000012RZP/RAZORPAY-PAYOUT/20260813,05bdcc774210527d45c343235f8d99c5e728ac2c50f4d63e01a531143b9c3238,25261164,2026-08-13T20:00:00+00:00,UNMATCHED,2026-08-13T20:00:00+00:00,2026-08-13T20:00:00+00:00
6307a5f8-c359-451b-b85c-9b3ccb688f9a,CMS/NEFT/UTR202608000013RZP/RAZORPAY-PAYOUT/20260815,1cc8e6079079e906f957a58d9f38a8af4ef15119a36fe80d95a2685c6f253705,28169408,2026-08-15T00:00:00+00:00,UNMATCHED,2026-08-15T00:00:00+00:00,2026-08-15T00:00:00+00:00
a017eed9-a169-4390-8932-283235ea2e01,CMS/NEFT/UTR202608000014RZP/RAZORPAY-PAYOUT/20260815,41d4ceceff8b889e25250418b1692ac3a678cef8a647cebcd3e803486d1b7812,25778476,2026-08-15T23:00:00+00:00,UNMATCHED,2026-08-15T23:00:00+00:00,2026-08-15T23:00:00+00:00
337f0df6-8709-40c8-bb92-98c43895d65d,CMS/NEFT/UTR202608000015RZP/RAZORPAY-PAYOUT/20260816,86dbd67b12ce6f5102f7e681378f5907401cf07f2e15ed650412d05147f7b93a,27414101,2026-08-16T17:00:00+00:00,UNMATCHED,2026-08-16T17:00:00+00:00,2026-08-16T17:00:00+00:00
2fc60296-e902-497a-baa6-f0877c2dec88,CMS/NEFT/UTR202608000016RZP/RAZORPAY-PAYOUT/20260817,611bbaf1a46ac2b51c6da6acd65c13fb790d6b679df34b25b12f536e5ac9c123,18353800,2026-08-17T18:00:00+00:00,UNMATCHED,2026-08-17T18:00:00+00:00,2026-08-17T18:00:00+00:00
2f6978ff-a2ac-44ed-ba78-e76564e2603f,CMS/NEFT/UTR202608000017RZP/RAZORPAY-PAYOUT/20260818,a411f400261f769b484354d39f62dfb73b9aff88693a134c2911ebf99d48b7f0,27805313,2026-08-18T22:00:00+00:00,UNMATCHED,2026-08-18T22:00:00+00:00,2026-08-18T22:00:00+00:00
46922d54-f9b1-45b1-8b30-e3762740ab92,NEFT CR 202608000018 RAZORPAY SOFTWARE PRIVATE LTD SETTL,f2f580e045ce77a5f1bc7300836fc745d771e492142d0884ed9408d6825cb413,28815121,2026-08-20T01:00:00+00:00,UNMATCHED,2026-08-20T01:00:00+00:00,2026-08-20T01:00:00+00:00
9a78d256-f6f6-4342-a07a-c809d4a10b36,CMS/NEFT/UTR202608000019RZP/RAZORPAY-PAYOUT/20260820,e282d4ed294f5fca9629d7a5a7078ac222d433c432b1b6b5433035b2533f9e8d,28312729,2026-08-20T20:00:00+00:00,UNMATCHED,2026-08-20T20:00:00+00:00,2026-08-20T20:00:00+00:00
e5c0cb74-047c-4fe9-a7d3-fe4e848f6c62,CMS/NEFT/UTR202608000020RZP/RAZORPAY-PAYOUT/20260821,3f7bedccecb1b7d50622c83449e77a2b8d583cea6eca9f6fa498e90043c58ceb,23361387,2026-08-21T23:00:00+00:00,UNMATCHED,2026-08-21T23:00:00+00:00,2026-08-21T23:00:00+00:00
